"client","description","owner","status","title","value","Creation Date"
"1776900327492x273299992656127040","Orçamento para instalação e configuração de infraestrutura de rede interna.","","","Proposta Inicial de Infraestrutura","12500","Apr 22, 2026 8:25 pm"
"1776900327492x755927344940532300","Sessões de consultoria mensal para melhoria de processos internos.","","","Consultoria de Gestão Empresarial","6000","Apr 22, 2026 8:25 pm"
"1776900327492x664122347017415200","Desenvolvimento de logotipo, paleta de cores e manual de marca.","","","Projeto de Identidade Visual","4200","Apr 22, 2026 8:25 pm"
"1776900327492x159327327458307140","Criação e publicação de site responsivo para presença digital da empresa.","","","Desenvolvimento de Site Institucional","8750","Apr 22, 2026 8:25 pm"
"1776900327492x159327327458307140","Auditoria completa das finanças corporativas do exercício fiscal 2025.","","","Auditoria Financeira Anual","11000","Apr 22, 2026 8:25 pm"
"1776900327492x755927344940532300","Campanha integrada em redes sociais, Google Ads e email marketing.","","","Campanha Digital Integrada","15800","Apr 22, 2026 8:25 pm"
"1776900327616x742967103480041100","Revitalização completa da fachada com materiais modernos e sustentáveis.","","","Remodelação de Fachada Comercial","22000","Apr 22, 2026 8:25 pm"
"1776900327492x273299992656127040","Fornecimento e instalação de sistema fotovoltaico de 20kWp.","","","Instalação de Painéis Solares","47000","Apr 22, 2026 8:25 pm"
"1776900327492x541867577071456960","Análise e reestruturação das rotas de entrega para redução de custos.","","","Otimização de Rotas Logísticas","9300","Apr 22, 2026 8:25 pm"
"1776900327492x664122347017415200","Implementação de software de controle e rastreamento de inventário.","","","Sistema de Gestão de Estoque","19500","Apr 22, 2026 8:25 pm"
"1776900327616x742967103480041100","Reforma completa de escritório com nova disposição e mobiliário.","","","Reforma de Escritório Corporativo","33000","Apr 22, 2026 8:25 pm"
"1776900327492x541867577071456960","Desenvolvimento de loja virtual com integração de pagamentos e ERP.","","","Plataforma E-commerce Personalizada","28400","Apr 22, 2026 8:25 pm"
